OriginID,calc_type,model,amplification,exposure,weight,file
smi:ch.ethz.sed/scenario/Origin/Altdorf_UR_M6_0,risk,MIM,SA1,RF,0.075,calc_25268.hdf5
smi:ch.ethz.sed/scenario/Origin/Altdorf_UR_M6_0,risk,SAM,N/A,RB,0.175,calc_25433.hdf5
smi:ch.ethz.sed/scenario/Origin/Altdorf_UR_M6_0,risk,SAM,N/A,RF,0.525,calc_25434.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,MIM,PGV,RB,0.025,calc_25501.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,MIM,PGV,RF,0.075,calc_25504.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,MIM,SA03,RB,0.025,calc_25502.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,MIM,SA03,RF,0.075,calc_25505.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,MIM,SA1,RB,0.025,calc_25503.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,MIM,SA1,RF,0.075,calc_25506.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,SAM,N/A,RB,0.175,calc_25813.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,damage,SAM,N/A,RF,0.525,calc_25814.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,MIM,PGV,RB,0.025,calc_25269.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,MIM,PGV,RF,0.075,calc_25272.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,MIM,SA03,RB,0.025,calc_25270.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,MIM,SA03,RF,0.075,calc_25273.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,MIM,SA1,RB,0.025,calc_25271.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,MIM,SA1,RF,0.075,calc_25274.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,SAM,N/A,RB,0.175,calc_25435.hdf5
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,risk,SAM,N/A,RF,0.525,calc_25436.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,MIM,PGV,RB,0.025,calc_25768.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,MIM,PGV,RF,0.075,calc_25771.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,MIM,SA03,RB,0.025,calc_25769.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,MIM,SA03,RF,0.075,calc_25772.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,MIM,SA1,RB,0.025,calc_25770.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,MIM,SA1,RF,0.075,calc_25773.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,SAM,N/A,RB,0.175,calc_25815.hdf5
