sid,eid,gmv_PGA,gmv_SA(0.1),gmv_SA(0.3),gmv_SA(0.4)
1,16,0.32212618,0.54517746,0.6495824,0.795435
2,16,0.18141457,0.36683828,2.0900843,0.36729816
3,16,0.48705086,0.73903257,1.0966889,1.0013763
4,16,0.48143443,0.61877805,1.0168881,0.5092035
5,16,0.42853454,0.4806918,2.1313224,0.773521
6,16,0.10169245,0.31339672,0.4467112,0.3959109
0,17,0.04140247,0.41013053,0.07601322,0.0865272
1,17,0.07696414,0.48786828,0.84608585,0.16612814
2,17,0.15465884,1.2153848,0.58982366,0.18846619
3,17,0.19924626,2.0364535,1.7050029,0.2067366
4,17,0.1835553,2.4058504,2.1131475,0.37292257
5,17,0.32112107,1.847748,1.4752377,0.33209193
6,17,0.07742409,0.9951464,1.1511337,0.42481047
0,18,0.035897683,0.060157653,0.09610601,0.052280746
1,18,0.21597405,0.15394253,0.21279176,0.6064068
2,18,0.15564239,0.45619887,0.31988934,0.32250446
3,18,0.24527267,1.527886,1.8754256,0.37111405
4,18,0.42129147,0.57292986,0.94369787,1.0407218
5,18,0.88948226,0.7631641,0.61012673,1.4975001
6,18,0.22501442,0.17827721,0.14575778,0.58348835
0,19,0.049287803,0.13587095,0.42675143,0.20238669
1,19,0.20074193,0.2659664,1.2972757,0.17335944
2,19,0.32325566,0.18231028,0.8887083,0.26881477
3,19,0.45163012,0.27419215,1.3747886,0.56113786
4,19,0.6305572,0.34555644,1.5885816,0.76162267
5,19,0.2988195,0.4314105,1.3505586,0.5368751
6,19,0.27355018,0.09342441,0.73350245,0.11738209
0,20,0.1196361,0.22339363,0.10114688,0.17760354
1,20,0.4819823,0.5376785,0.16998719,0.46364743
2,20,0.40669477,0.6379846,0.33921024,0.72137636
3,20,1.0034931,1.5659629,0.44187203,0.7365339
4,20,1.3719807,2.0357294,0.3840091,1.1301686
5,20,1.0013705,2.4115596,0.79108804,1.3410548
6,20,0.2856832,0.4315044,0.62676907,0.7447798
0,21,0.034259845,0.08668532,0.14741567,0.110695034
1,21,0.32035887,0.121772245,1.0046921,0.35505557
2,21,0.20955975,0.36803555,0.21305472,0.45685217
3,21,0.68229985,0.6156863,0.5291228,0.36186785
4,21,0.87070286,1.2310454,0.6889517,0.400948
5,21,0.46900985,0.55733335,0.26542258,1.1896096
6,21,0.17386948,0.26538664,0.3039505,0.3684061
0,22,0.05932617,0.07122713,0.06801954,0.23525345
1,22,0.18130466,0.39504984,0.4143148,0.137344
2,22,0.1163601,0.92655295,0.55246836,0.28778055
3,22,0.47331464,2.9694173,0.9423325,0.81132954
4,22,0.28296033,2.3579712,1.2169621,0.41926283
5,22,0.92900467,1.264554,1.3215408,0.45546606
6,22,0.1629911,1.2291207,1.0790117,0.33773908
0,23,0.049333155,0.121930435,0.07709787,0.11464436
1,23,0.09396491,0.25630894,0.2023921,0.26775533
2,23,0.13341017,0.43623263,0.9451949,0.28630525
3,23,0.25726664,1.9587172,0.6407711,0.7359475
4,23,0.29011115,1.3333006,0.9533212,0.654152
5,23,0.4961793,1.6751583,0.6905802,1.5082554
6,23,0.14611991,0.33514416,0.17938007,0.34183693
0,24,0.059893508,0.115490794,0.3286404,0.48837224
1,24,0.12988281,0.36544803,0.31099197,0.14957462
2,24,0.13025697,0.3167887,0.18499056,0.6845559
3,24,0.73758465,1.7254997,0.7491828,0.80691785
4,24,0.23643513,1.2817951,0.8715578,1.0341526
5,24,0.49448025,0.83112067,1.0994371,0.780453
6,24,0.18223706,1.05273,0.31274626,0.38875505
0,25,0.13827781,0.29424253,0.3738831,0.17904317
1,25,0.2591624,1.2257639,0.30893523,0.4181326
