site_id,lon,lat
266,6.13296,46.48268
267,6.13329,46.4646
268,6.13339,46.4647
269,6.13349,46.4648
270,6.13359,46.4649
271,6.13369,46.465
272,6.13372,46.44661
273,6.13382,46.44671
274,6.13392,46.44681
275,6.13402,46.44691
276,6.13412,46.44701
277,6.13416,46.42862
278,6.13426,46.42872
279,6.13459,46.41063
280,6.13502,46.39264
281,6.13512,46.39274
282,6.13522,46.39284
283,6.13532,46.39294
284,6.13542,46.39304
285,6.13545,46.37465
286,6.13555,46.37475
287,6.13565,46.37485
288,6.13575,46.37495
289,6.13585,46.37505
290,6.13632,46.33867
291,6.13642,46.33877
292,6.13652,46.33887
293,6.13662,46.33897
294,6.13672,46.33907
295,6.13675,46.32068
296,6.13685,46.32078
297,6.13695,46.32088
298,6.13705,46.32098
299,6.13715,46.32108
300,6.13718,46.3027
301,6.13728,46.3028
302,6.13738,46.3029
303,6.13748,46.303
304,6.13758,46.3031
305,6.13761,46.28471
306,6.13771,46.28481
307,6.13781,46.28491
308,6.13791,46.28501
309,6.13801,46.28511
310,6.13804,46.26672
311,6.13814,46.26682
312,6.13824,46.26692
313,6.13834,46.26702
314,6.13844,46.26712
315,6.13847,46.24873
316,6.13857,46.24883
317,6.13867,46.24893
318,6.13877,46.24903
319,6.13887,46.24913
320,6.1389,46.23074
321,6.139,46.23084
322,6.1391,46.23094
323,6.1392,46.23104
324,6.1393,46.23114
325,6.13933,46.21275
326,6.13943,46.21285
327,6.13953,46.21295
328,6.13963,46.21305
329,6.13973,46.21315
330,6.13976,46.19476
331,6.13986,46.19486
332,6.13996,46.19496
333,6.14006,46.19506
334,6.14016,46.19516
335,6.14019,46.17677
336,6.14029,46.17687
337,6.14039,46.17697
338,6.14049,46.17707
339,6.14059,46.17717
340,6.14062,46.15879
341,6.14072,46.15889
342,6.14082,46.15899
343,6.14092,46.15909
344,6.14102,46.15919
345,6.14105,46.1408
346,6.14115,46.1409
347,6.14125,46.141
348,6.14135,46.1411
349,6.14145,46.1412
350,6.15634,46.59081
351,6.15677,46.57282
352,6.15687,46.57292
353,6.15697,46.57302
354,6.15719,46.55484
355,6.15729,46.55494
356,6.15739,46.55504
357,6.15749,46.55514
358,6.15759,46.55524
359,6.15762,46.53685
360,6.15772,46.53695
361,6.15782,46.53705
362,6.15792,46.53715
363,6.15802,46.53725
364,6.15805,46.51886
365,6.15815,46.51896
366,6.15847,46.50087
367,6.15857,46.50097
368,6.15867,46.50107
369,6.1589,46.48288
370,6.159,46.48298
371,6.15932,46.46489
372,6.15942,46.46499
373,6.15952,46.46509
374,6.15962,46.46519
375,6.15972,46.46529
376,6.15975,46.4469
377,6.15985,46.447
378,6.15995,46.4471
379,6.16005,46.4472
380,6.16015,46.4473
381,6.16017,46.42891
382,6.16027,46.42901
383,6.16037,46.42911
384,6.16047,46.42921
385,6.16057,46.42931
386,6.1606,46.41093
387,6.1607,46.41103
388,6.1608,46.41113
389,6.1609,46.41123
390,6.161,46.41133
391,6.16102,46.39294
392,6.16112,46.39304
393,6.16122,46.39314
394,6.16132,46.39324
395,6.16142,46.39334
396,6.16144,46.37495
397,6.16154,46.37505
398,6.16164,46.37515
399,6.16174,46.37525
400,6.16184,46.37535
401,6.16187,46.35696
402,6.16197,46.35706
403,6.16207,46.35716
404,6.16217,46.35726
405,6.16227,46.35736
406,6.16229,46.33897
407,6.16239,46.33907
408,6.16249,46.33917
409,6.16259,46.33927
410,6.16269,46.33937
411,6.16271,46.32098
412,6.16281,46.32108
413,6.16291,46.32118
414,6.16301,46.32128
415,6.16311,46.32138
416,6.16314,46.30299
417,6.16324,46.30309
418,6.16334,46.30319
419,6.16344,46.30329
420,6.16354,46.30339
421,6.16356,46.285
422,6.16366,46.2851
423,6.16376,46.2852
424,6.16386,46.2853
425,6.16396,46.2854
426,6.16398,46.26701
427,6.16408,46.26711
428,6.16418,46.26721
429,6.16428,46.26731
430,6.16438,46.26741
431,6.1644,46.24903
432,6.1645,46.24913
433,6.1646,46.24923
434,6.1647,46.24933
435,6.1648,46.24943
436,6.16525,46.21305
437,6.16535,46.21315
438,6.16545,46.21325
439,6.16555,46.21335
440,6.16565,46.21345
441,6.16567,46.19506
442,6.16577,46.19516
443,6.16587,46.19526
444,6.16597,46.19536
445,6.16607,46.19546
446,6.16609,46.17707
447,6.16619,46.17717
448,6.16629,46.17727
449,6.16639,46.17737
450,6.16649,46.17747
451,6.16651,46.15908
452,6.16661,46.15918
453,6.16671,46.15928
454,6.16681,46.15938
455,6.16691,46.15948
456,6.18243,46.5911
457,6.18253,46.5912
458,6.18263,46.5913
459,6.18285,46.57312
460,6.18295,46.57322
461,6.18305,46.57332
462,6.18315,46.57342
463,6.18325,46.57352
464,6.18327,46.55513
465,6.18337,46.55523
466,6.18347,46.55533
467,6.18369,46.53714
468,6.18379,46.53724
469,6.18389,46.53734
470,6.1841,46.51915
471,6.1842,46.51925
472,6.1843,46.51935
473,6.18452,46.50116
474,6.18462,46.50126
475,6.18494,46.48317
476,6.18504,46.48327
477,6.18514,46.48337
478,6.18524,46.48347
479,6.18534,46.48357
480,6.18536,46.46518
481,6.18546,46.46528
482,6.18556,46.46538
483,6.18566,46.46548
484,6.18576,46.46558
485,6.18577,46.44719
486,6.18587,46.44729
487,6.18597,46.44739
488,6.18607,46.44749
489,6.18617,46.44759
490,6.18619,46.4292
491,6.18629,46.4293
492,6.18639,46.4294
493,6.18649,46.4295
494,6.18659,46.4296
495,6.1866,46.41122
496,6.1867,46.41132
497,6.1868,46.41142
498,6.1869,46.41152
499,6.187,46.41162
500,6.18702,46.39323
501,6.18712,46.39333
502,6.18722,46.39343
503,6.18732,46.39353
504,6.18742,46.39363
505,6.18743,46.37524
506,6.18753,46.37534
507,6.18763,46.37544
508,6.18773,46.37554
509,6.18783,46.37564
510,6.18785,46.35725
511,6.18795,46.35735
512,6.18805,46.35745
513,6.18815,46.35755
514,6.18825,46.35765
515,6.18826,46.33926
516,6.18836,46.33936
517,6.18846,46.33946
518,6.18856,46.33956
519,6.18866,46.33966
520,6.18868,46.32127
521,6.18878,46.32137
522,6.18888,46.32147
523,6.18898,46.32157
524,6.18908,46.32167
525,6.18909,46.30328
526,6.18919,46.30338
527,6.18929,46.30348
528,6.18939,46.30358
529,6.18949,46.30368
530,6.18992,46.2673
531,6.19002,46.2674
532,6.19012,46.2675
533,6.19022,46.2676
534,6.19032,46.2677
535,6.19033,46.24931
536,6.19043,46.24941
537,6.19053,46.24951
538,6.19063,46.24961
539,6.19073,46.24971
540,6.19075,46.23133
541,6.19085,46.23143
542,6.19095,46.23153
543,6.19105,46.23163
544,6.19115,46.23173
545,6.19116,46.21334
546,6.19126,46.21344
547,6.19136,46.21354
548,6.19146,46.21364
549,6.19156,46.21374
550,6.19157,46.19535
551,6.19167,46.19545
552,6.19177,46.19555
553,6.19187,46.19565
554,6.19197,46.19575
555,6.19198,46.17736
556,6.19208,46.17746
557,6.19218,46.17756
558,6.19228,46.17766
559,6.19238,46.17776
560,6.1924,46.15937
561,6.1925,46.15947
562,6.1926,46.15957
563,6.1927,46.15967
